Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
0.14,0,1535.32,1.6,0.9,89.97,0,122.05,96.54,0.07,-598435.23,0,1,False,0,22,
0.7,0,1530.64,1.61,0.9,89.94,0.01,123.51,98.89,0.43,-598435.5,0,1,False,0,22,
1.3,0,1525.95,1.61,0.9,89.81,0.03,127,104.53,0.79,-598435.28,0,1,False,0,22,
1.88,0,1521.23,1.62,0.9,89.66,0.06,132.53,113.51,1.15,-598434.6,0,1,False,0,22,
2.46,0,1516.49,1.62,0.9,89.5,0.11,140.13,125.87,1.52,-598433.45,0,1,False,0,22,
3.04,0,1511.72,1.63,0.9,89.33,0.18,149.79,141.66,1.89,-598431.8,0,1,False,0,22,
3.62,0,1506.94,1.64,0.9,89.15,0.25,161.55,160.92,2.26,-598429.63,0,1,False,0,22,
4.18,0,1502.13,1.64,0.9,88.96,0.35,175.41,183.69,2.63,-598426.9,0,1,False,0,22,
4.78,0,1497.3,1.65,0.9,88.77,0.45,191.39,210.01,3.01,-598423.62,0,1,False,0,22,
5.36,0,1492.51,1.65,0.9,88.58,0.58,209.5,239.93,3.39,-598419.75,0,1,False,0,22,
5.92,0,1487.63,1.66,0.9,88.39,0.72,229.76,273.49,3.77,-598415.3,0,1,False,0,22,
6.5,0,1482.73,1.66,0.9,88.19,0.87,252.18,310.72,4.15,-598410.26,0,1,False,0,22,
7.1,0,1477.81,1.67,0.9,88,1.04,276.77,351.68,4.54,-598404.61,0,1,False,0,22,
7.66,0,1472.87,1.68,0.9,87.8,1.23,303.55,396.39,4.93,-598398.34,0,1,False,0,22,
8.26,0,1467.9,1.68,0.9,87.6,1.43,332.54,444.9,5.32,-598391.46,0,1,False,0,22,
8.84,0,1462.85,1.69,0.9,87.4,1.64,363.73,497.24,5.71,-598383.94,0,1,False,0,22,
9.42,0,1457.83,1.69,0.9,87.2,1.87,397.16,553.45,6.11,-598375.78,0,1,False,0,22,
9.98,0,1452.79,1.7,0.9,87,2.12,432.82,613.56,6.51,-598366.97,0,1,False,0,22,
10.58,0,1447.79,1.71,0.9,86.79,2.38,470.73,677.61,6.91,-598357.5,0,1,False,0,22,
11.16,0,1442.7,1.71,0.9,86.59,2.66,510.9,745.63,7.31,-598347.37,0,1,False,0,22,
11.72,0,1437.59,1.72,0.9,86.39,2.95,553.35,817.65,7.72,-598336.56,0,1,False,0,22,
12.32,0,1432.45,1.73,0.9,86.19,3.25,598.07,893.7,8.12,-598325.07,0,1,False,0,22,
12.88,0,1427.29,1.73,0.9,85.98,3.57,645.09,973.82,8.53,-598312.89,0,1,False,0,22,
13.46,0,1422.1,1.74,0.9,85.78,3.9,694.42,1058.02,8.94,-598300,0,1,False,0,22,
14.06,0,1416.89,1.75,0.9,85.57,4.25,746.06,1146.35,9.36,-598286.4,0,1,False,0,22,
14.64,0,1411.65,1.76,0.9,85.37,4.61,800.02,1238.83,9.77,-598272.07,0,1,False,0,22,
15.22,0,1406.39,1.76,0.9,85.16,4.98,856.31,1335.48,10.19,-598257,0,1,False,0,22,
15.9,0,1400.12,1.77,0.9,84.93,5.43,925.28,1454.13,10.68,-598238.14,0,1,False,2,22,
16.62,0,1393.51,1.78,0.9,84.82,5.92,1001.84,1586.05,11.21,-598217.03,0,1,False,2,22,
17.34,0,1386.92,1.79,0.9,84.77,6.43,1082.04,1724.53,11.73,-598196.91,0,1,False,2,22,
18.06,0,1380.17,1.8,0.9,84.14,6.96,1165.86,1869.84,12.26,-598177.61,0,1,False,2,22,
18.78,0,1373.18,1.8,0.91,83.1,7.51,1255.82,2025.92,12.81,-598151.32,0,1,False,2,22,
19.54,0,1365.86,1.8,0.92,82.07,8.07,1349.62,2187.31,13.35,-598119.47,0,1,False,2,22,
20.28,0,1358.22,1.8,0.94,81.1,8.63,1447.16,2353.44,13.87,-598083.13,0,1,False,2,22,
21.02,0,1350.31,1.79,0.95,80.18,9.18,1548.34,2523.93,14.38,-598042.41,0,1,False,2,22,
21.74,0,1342.22,1.79,0.97,79.31,9.71,1650.18,2693.56,14.87,-597998.53,0,1,False,2,22,
22.46,0,1333.73,1.78,0.98,78.48,10.22,1755.28,2866.5,15.34,-597950.56,0,1,False,2,22,
