Apoapsis,980km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
36.15,1,2360.7,2.1,0.36,73.97,27.28,4379.86,7384.61,24.91,-6356300.95,1,False,2,41,
36.87,1,2373.77,2.11,0.36,73.55,28.24,4556.78,7689.21,25.43,-6356108.15,1,False,2,41,
37.59,1,2386.88,2.12,0.37,73.13,29.21,4737.32,7999.99,25.95,-6355908.91,1,False,2,41,
38.27,1,2400.01,2.14,0.38,72.71,30.18,4921.5,8316.97,26.47,-6355703.13,1,False,2,41,
39.03,1,2413.18,2.15,0.38,72.29,31.16,5109.3,8640.17,26.99,-6355490.69,1,False,2,41,
39.75,1,2426.37,2.17,0.39,71.87,32.14,5300.73,8969.62,27.51,-6355271.49,1,False,2,41,
40.47,1,2439.59,2.18,0.39,71.45,33.12,5495.78,9305.34,28.04,-6355045.42,1,False,2,41,
41.15,1,2452.85,2.19,0.4,71.04,34.11,5694.45,9647.35,28.56,-6354812.29,1,False,2,41,
41.87,1,2466.15,2.21,0.4,70.62,35.1,5896.74,9995.49,29.08,-6354572.1,1,False,2,41,
42.59,1,2479.48,2.22,0.41,70.21,36.08,6102.65,10348.61,29.6,-6354325.52,1,False,2,41,
43.35,1,2492.84,2.24,0.41,69.8,37.04,6312.1,10704.69,30.1,-6354073.81,1,False,2,41,
44.07,1,2506.25,2.25,0.42,69.39,37.97,6525.02,11062.86,30.6,-6353817.42,1,False,2,41,
44.79,1,2519.69,2.27,0.42,68.98,38.86,6741.31,11422.96,31.08,-6353556.31,1,False,2,41,
45.51,1,2533.18,2.28,0.42,68.57,39.72,6960.89,11785.17,31.55,-6353290.19,1,False,2,41,
46.23,1,2546.72,2.3,0.43,68.16,40.55,7183.69,12149.79,32.01,-6353018.64,1,False,2,41,
46.91,1,2560.3,2.32,0.43,67.75,41.36,7409.64,12517.15,32.46,-6352741.25,1,False,2,41,
47.63,1,2573.94,2.33,0.44,67.34,42.14,7638.7,12887.56,32.91,-6352457.61,1,False,2,41,
48.39,1,2587.63,2.35,0.44,66.93,42.9,7870.83,13261.29,33.35,-6352167.31,1,False,2,41,
49.11,1,2601.38,2.36,0.45,66.52,43.65,8105.99,13638.62,33.79,-6351869.98,1,False,2,41,
49.79,1,2615.19,2.38,0.45,66.11,44.38,8344.16,14019.71,34.23,-6351565.28,1,False,2,41,
50.51,1,2629.06,2.4,0.45,65.7,45.1,8585.31,14404.58,34.66,-6351253.03,1,False,2,41,
51.27,1,2643.01,2.41,0.46,65.3,45.79,8829.43,14792.9,35.09,-6350933.34,1,False,2,41,
51.99,1,2657.03,2.43,0.46,64.89,46.48,9076.48,15184.71,35.51,-6350606.02,1,False,2,41,
52.67,1,2671.12,2.45,0.47,64.48,47.14,9326.44,15580.21,35.94,-6350270.77,1,False,2,41,
53.43,1,2685.3,2.46,0.47,64.08,47.79,9579.29,15979.6,36.36,-6349927.24,1,False,2,41,
54.11,1,2699.57,2.48,0.47,63.67,48.42,9835.02,16383.13,36.78,-6349575.05,1,False,2,41,
55.18,1,2720.92,2.94,0.65,63.1,49.46,10205.49,17008.52,37.49,-6349018.81,1,False,2,41,
55.96,1,2732.74,3.5,0.85,62.98,51.41,10487.3,17622.45,38.42,-6348460.62,1,False,2,41,
56.52,1,2740.55,3.92,1,63.01,53.26,10698.42,18163.72,39.3,-6347985.74,1,False,2,41,
57.06,1,2747.25,3.91,1,62.82,55.39,10914.53,18753.05,40.28,-6347477.13,1,False,2,41,
57.64,1,2752.37,3.76,1,62.53,57.38,11135.67,19330.45,41.18,-6346981.41,1,False,2,41,
58.2,1,2755.06,3.58,1,62.16,59.11,11361.4,19882.67,42,-6346505.55,1,False,2,41,
58.76,1,2755.36,3.43,1,61.78,60.58,11591.25,20410.35,42.73,-6346044.98,1,False,2,41,
59.3,1,2753.68,3.31,1,61.46,61.84,11824.82,20919.04,43.4,-6345596.71,1,False,2,41,
59.86,1,2750.49,3.23,1,61.16,62.94,12061.8,21414.74,44.02,-6345156.75,1,False,2,41,
60.52,1,2745.45,3.17,1,60.83,64.04,12336.53,21972.19,44.68,-6344658.2,1,False,2,41,
61.1,1,2739.46,2.84,1,60.55,64.91,12588.89,22460.96,45.23,-6344218.27,1,True,2,41,
61.72,0,5231.28,3.01,1,60.25,65.52,12861.63,22963.77,45.76,-6343761.33,1,False,2,29,
62.26,0,5214.17,3.03,1,59.94,66.27,13110.9,23452.2,46.3,-6343314.36,1,False,2,29,
62.82,0,5196.97,3.05,1,59.59,67.03,13363.06,23951.41,46.86,-6342849.89,1,False,2,29,
63.4,0,5179.68,3.07,1,59.3,67.8,13618.21,24461.46,47.43,-6342369.24,1,False,2,29,
63.96,0,5162.31,3.09,1,59.05,68.57,13876.38,24982.01,48,-6341875.59,1,False,2,29,
64.52,0,5144.85,3.1,1,58.8,69.33,14137.62,25513.09,48.59,-6341369.4,1,False,2,29,
65.08,0,5127.3,3.12,1,58.54,70.09,14401.98,26054.99,49.19,-6340849.69,1,False,2,29,
65.62,0,5109.65,3.14,1,58.28,70.83,14669.5,26607.93,49.79,-6340315.87,1,False,2,29,
66.18,0,5091.92,3.16,1,58.02,71.56,14940.23,27171.94,50.41,-6339767.62,1,False,2,29,
66.74,0,5074.09,3.18,1,57.76,72.28,15214.23,27746.92,51.03,-6339204.83,1,False,2,29,
67.3,0,5056.16,3.2,1,57.5,72.98,15491.53,28332.55,51.66,-6338627.62,1,False,2,29,
67.86,0,5038.14,3.22,1,57.24,73.66,15772.16,28928.31,52.3,-6338036.31,1,False,2,29,
68.42,0,5020.03,3.24,1,56.98,74.31,16056.15,29533.46,52.94,-6337431.46,1,False,2,29,
68.98,0,5001.82,3.26,1,56.72,74.92,16343.52,30147.33,53.59,-6336813.55,1,False,2,29,
69.69,0,4980.98,3.28,1,56.4,75.44,16708.29,30928.66,54.39,-6336020.71,1,False,2,29,
70.36,0,4958.78,3.31,1,56.08,75.92,17088.19,31745.21,55.22,-6335184.73,1,False,2,29,
71.16,0,4933.56,3.34,1,55.75,76.54,17495.49,32623.85,56.12,-6334277.39,1,False,2,29,
71.92,0,4908.16,3.37,1,55.42,76.76,17909.15,33520.31,57.02,-6333343.11,1,False,2,29,
72.68,0,4882.56,3.4,1,55.09,76.68,18329.22,34436.68,57.94,-6332378.85,1,False,2,29,
73.44,0,4856.76,3.43,1,54.76,76.54,18755.79,35373.78,58.86,-6331383.15,1,False,2,29,
74.2,0,4830.77,3.46,1,54.43,76.34,19188.94,36332.27,59.81,-6330354.78,1,False,2,29,
74.92,0,4804.58,3.49,1,54.1,76.1,19628.74,37312.81,60.76,-6329292.51,1,False,2,29,
75.72,0,4778.18,3.52,1,53.78,75.8,20075.28,38316.08,61.73,-6328195.12,1,False,2,29,
76.44,0,4751.58,3.55,1,53.46,75.44,20528.65,39342.76,62.71,-6327061.35,1,False,2,29,
77.24,0,4724.77,3.58,1,53.15,75.04,20988.94,40393.51,63.7,-6325890,1,False,2,29,
78,0,4697.74,3.61,1,52.84,74.58,21456.25,41468.47,64.72,-6324680.39,1,False,2,29,
78.76,0,4670.5,3.64,1,52.53,74.07,21930.64,42567.56,65.74,-6323432.12,1,False,2,29,
79.48,0,4643.04,3.67,1,52.22,73.5,22412.21,43690.78,66.78,-6322144.65,1,False,2,29,
80.28,0,4615.35,3.71,1,51.92,72.86,22901.02,44838.21,67.83,-6320817.31,1,False,2,29,
81.04,0,4587.43,3.74,1,51.62,72.17,23397.14,46010.06,68.89,-6319449.32,1,False,2,29,
81.8,0,4559.29,3.78,1,51.33,71.42,23900.64,47206.63,69.96,-6318039.79,1,False,2,29,
82.56,0,4530.91,3.81,1,51.03,70.62,24411.6,48428.39,71.05,-6316587.59,1,False,2,29,
83.32,0,4502.29,3.84,1,50.75,69.75,24930.07,49675.92,72.15,-6315091.5,1,False,2,29,
84.08,0,4473.42,3.88,1,50.46,68.83,25456.13,50949.96,73.26,-6313549.99,1,False,2,29,
84.8,0,4444.31,3.92,1,50.18,67.86,25989.86,52251.41,74.39,-6311961.47,1,False,2,29,
85.6,0,4414.95,3.95,1,49.9,66.84,26531.33,53581.39,75.53,-6310324.18,1,False,2,29,
86.36,0,4385.33,3.99,1,49.59,65.78,27080.62,54942,76.69,-6308635.26,1,False,2,29,
87.16,0,4353.89,4,0.99,49.21,64.61,27667.39,56406.6,77.93,-6306796.33,1,False,2,29,
87.92,0,4324.01,4,0.98,48.83,63.43,28232.97,57816.75,79.1,-6305002.62,1,False,2,29,
88.64,0,4294.14,4,0.97,48.44,62.2,28806.48,59246.67,80.28,-6303160,1,False,2,29,
89.44,0,4264.3,4,0.96,48.05,60.91,29387.88,60692.77,81.45,-6301272.12,1,False,2,29,
