Apoapsis,980km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
175.84,0,938.98,4,0.35,6.62,0.39,115187.69,186174.92,142.25,-5455218.52,1,False,2,29,
176.6,0,910.18,4,0.35,6.46,0.37,115947.32,186957.33,142.62,-5440025.71,1,False,2,29,
177.36,0,881.38,4,0.34,6.3,0.35,116705.18,187735.04,143,-5424651.06,1,False,2,29,
178.12,0,852.59,4,0.34,6.14,0.33,117461.21,188507.99,143.38,-5409092.63,1,False,2,29,
178.88,0,823.8,4,0.34,5.98,0.31,118215.4,189276.32,143.76,-5393348.55,1,False,2,29,
179.6,0,795.02,4,0.34,5.82,0.29,118967.7,190040.04,144.15,-5377416.94,1,False,2,29,
180.52,0,760.58,4,0.33,5.64,0.27,119836.4,190918.57,144.59,-5358733.03,1,False,2,29,
181.28,0,732.95,4,0.33,5.49,0.25,120584.54,191673.21,144.99,-5342390.65,1,False,2,29,
182.04,0,704.19,4,0.33,5.34,0.24,121330.69,192422.99,145.38,-5325854.69,1,False,2,29,
182.8,0,675.44,4,0.32,5.18,0.22,122074.84,193168.06,145.78,-5309123.37,1,False,2,29,
183.52,0,646.69,4,0.32,5.08,0.21,122816.95,193907.35,146.18,-5292194.21,1,False,2,29,
184.32,0,617.96,4,0.32,5.05,0.2,123557.03,194650.73,146.59,-5275068.63,1,False,2,29,
185.08,0,589.23,4,0.32,5.04,0.18,124295.08,195400.25,147.01,-5257745.27,1,False,2,29,
185.84,0,560.5,4,0.31,5.03,0.17,125031.12,196156.23,147.45,-5240222.6,1,False,2,29,
186.6,0,531.79,4,0.31,5.03,0.16,125765.16,196919.2,147.91,-5222499.09,1,False,2,29,
187.36,0,503.08,4,0.31,5.03,0.15,126497.24,197689.34,148.38,-5204572.81,1,False,2,29,
