Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
0.12,0,2929,1.6,0.93,89.97,0,122.02,95.89,0.07,-598435.47,0,1,False,0,18,
0.74,0,2918.39,1.61,0.93,89.83,0.01,123.65,98.51,0.45,-598435.67,0,1,False,0,18,
1.32,0,2908.08,1.61,0.93,89.66,0.03,127.43,104.63,0.83,-598434.63,0,1,False,0,18,
1.82,0,2899.81,1.62,0.93,89.56,0.06,132.04,112.09,1.13,-598433.67,0,1,False,0,18,
2.42,0,2889.45,1.62,0.93,89.42,0.11,139.77,124.67,1.5,-598432.24,0,1,False,0,18,
3.02,0,2879.06,1.63,0.93,89.26,0.17,149.72,140.91,1.88,-598430.35,0,1,False,0,18,
3.62,0,2868.63,1.64,0.93,89.08,0.26,161.9,160.84,2.27,-598427.9,0,1,False,0,18,
4.22,0,2858.17,1.64,0.93,88.9,0.35,176.32,184.51,2.65,-598424.88,0,1,False,0,18,
4.82,0,2847.67,1.65,0.93,88.71,0.47,193.01,211.97,3.04,-598421.29,0,1,False,0,18,
5.42,0,2837.5,1.65,0.93,88.51,0.59,211.97,243.25,3.43,-598417.09,0,1,False,0,18,
6.02,0,2826.94,1.66,0.93,88.32,0.74,233.22,278.39,3.82,-598412.28,0,1,False,0,18,
6.62,0,2816.35,1.66,0.93,88.12,0.9,256.78,317.43,4.22,-598406.85,0,1,False,0,18,
7.2,0,2805.72,1.67,0.93,87.92,1.08,282.64,360.4,4.62,-598400.79,0,1,False,0,18,
7.82,0,2795.06,1.68,0.93,87.72,1.27,310.84,407.33,5.01,-598394.09,0,1,False,0,18,
8.4,0,2784.36,1.68,0.93,87.52,1.48,341.37,458.25,5.42,-598386.73,0,1,False,0,18,
9.02,0,2773.63,1.69,0.93,87.31,1.71,374.24,513.2,5.82,-598378.72,0,1,False,0,18,
9.6,0,2762.87,1.7,0.93,87.11,1.95,409.48,572.2,6.23,-598370.05,0,1,False,0,18,
10.22,0,2751.7,1.7,0.93,86.9,2.2,447.08,635.27,6.63,-598360.71,0,1,False,0,18,
10.8,0,2741.23,1.71,0.93,86.7,2.47,487.06,702.43,7.04,-598350.69,0,1,False,0,18,
11.42,0,2730.36,1.72,0.93,86.49,2.76,529.43,773.71,7.45,-598339.98,0,1,False,0,18,
12.02,0,2719.45,1.72,0.93,86.29,3.06,574.18,849.11,7.86,-598328.58,0,1,False,0,18,
12.6,0,2708.51,1.73,0.93,86.08,3.37,621.33,928.67,8.28,-598316.48,0,1,False,0,18,
13.22,0,2697.53,1.74,0.93,85.88,3.7,670.89,1012.39,8.69,-598303.68,0,1,False,0,18,
13.8,0,2686.51,1.74,0.93,85.67,4.04,722.86,1100.28,9.11,-598290.17,0,1,False,0,18,
14.42,0,2675.46,1.75,0.93,85.46,4.4,777.25,1192.35,9.53,-598275.93,0,1,False,0,18,
15.02,0,2664.37,1.76,0.93,85.26,4.76,834.05,1288.62,9.95,-598260.98,0,1,False,0,18,
15.7,0,2651.02,1.77,0.93,85.02,5.2,903.39,1406.24,10.44,-598242.57,0,1,False,2,18,
16.26,0,2640.59,1.78,0.93,84.87,5.57,961.25,1504.44,10.83,-598226.8,0,1,False,2,18,
16.82,0,2630.13,1.78,0.93,84.81,5.94,1021.22,1606.28,11.22,-598210.74,0,1,False,2,18,
17.4,0,2620.02,1.79,0.93,84.77,6.31,1083.31,1711.79,11.62,-598195.49,0,1,False,2,18,
17.96,0,2609.12,1.8,0.93,84.38,6.7,1147.51,1821.11,12.01,-598181.31,0,1,False,2,18,
18.52,0,2598.56,1.81,0.93,83.65,7.1,1213.82,1934.3,12.41,-598163.67,0,1,False,2,18,
19.08,0,2587.97,1.81,0.93,82.84,7.5,1282.27,2051.34,12.81,-598142.41,0,1,False,2,18,
19.64,0,2577.72,1.82,0.93,82.06,7.91,1352.85,2171.66,13.21,-598118.08,0,1,False,2,18,
20.2,0,2567.06,1.83,0.93,81.33,8.33,1425.54,2295.16,13.6,-598090.99,0,1,False,2,18,
20.76,0,2555.99,1.84,0.93,80.63,8.75,1500.33,2421.8,13.99,-598061.18,0,1,False,2,18,
