Apoapsis,150km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Circ dV,Stage,Staging,Runmode,Parts
31.2,0,2121.86,2,0.88,70.19,16.6,3249.11,5303.51,20.86,-597005.09,0,1,False,2,18,
31.76,0,2110.85,2.01,0.88,69.71,17.03,3361.74,5488.25,21.22,-596920.74,0,1,False,2,18,
32.32,0,2099.39,2.02,0.88,69.24,17.45,3476.24,5676.13,21.59,-596833.29,0,1,False,2,18,
32.88,0,2087.9,2.03,0.88,68.77,17.88,3592.62,5867.15,21.96,-596742.68,0,1,False,2,18,
33.44,0,2076.36,2.04,0.88,68.3,18.31,3710.86,6061.34,22.33,-596648.82,0,1,False,2,18,
33.98,0,2064.78,2.05,0.88,67.83,18.73,3830.98,6258.7,22.7,-596551.65,0,1,False,2,18,
34.54,0,2053.16,2.06,0.88,67.37,19.15,3952.97,6459.25,23.07,-596451.08,0,1,False,2,18,
35.1,0,2041.09,2.07,0.88,66.91,19.57,4076.82,6663,23.45,-596347.01,0,1,False,2,18,
35.66,0,2029.38,2.08,0.88,66.46,19.99,4202.55,6869.97,23.82,-596239.35,0,1,False,2,18,
36.24,0,2017.64,2.09,0.88,66,20.4,4330.14,7080.16,24.19,-596128,0,1,False,2,18,
36.8,0,2005.85,2.1,0.88,65.55,20.81,4459.6,7293.6,24.57,-596012.87,0,1,False,2,18,
37.36,0,1994.45,2.11,0.88,65.1,21.22,4590.92,7510.29,24.95,-595893.84,0,1,False,2,18,
37.92,0,1982.58,2.12,0.88,64.66,21.62,4724.12,7730.25,25.33,-595770.8,0,1,False,2,18,
38.48,0,1970.67,2.13,0.88,64.21,22.01,4859.18,7953.49,25.71,-595643.67,0,1,False,2,18,
39.02,0,1958.72,2.14,0.88,63.77,22.4,4996.11,8180.03,26.09,-595512.32,0,1,False,2,18,
39.58,0,1946.72,2.15,0.88,63.33,22.79,5134.91,8409.87,26.47,-595376.63,0,1,False,2,18,
40.14,0,1934.68,2.16,0.88,62.89,23.16,5275.57,8642.91,26.85,-595236.54,0,1,False,2,18,
40.7,0,1922.6,2.17,0.88,62.45,23.53,5418.1,8878.62,27.23,-595092.2,0,1,False,2,18,
41.26,0,1910.47,2.18,0.88,62.01,23.88,5562.46,9116,27.61,-594944.06,0,1,False,2,18,
41.82,0,1898.3,2.19,0.88,61.58,24.21,5708.61,9354.05,27.98,-594792.63,0,1,False,2,18,
42.38,0,1885.64,2.2,0.88,61.14,24.51,5856.51,9592.36,28.34,-594638.03,0,1,False,2,18,
42.94,0,1873.81,2.21,0.88,60.71,24.79,6006.09,9830.89,28.69,-594480.25,0,1,False,2,18,
43.52,0,1861.51,2.22,0.88,60.28,25.04,6157.31,10069.76,29.04,-594319.09,0,1,False,2,18,
44.08,0,1849.15,2.24,0.88,59.85,25.27,6310.13,10309.25,29.37,-594154.32,0,1,False,2,18,
44.64,0,1836.75,2.25,0.88,59.42,25.47,6464.49,10549.69,29.7,-593985.64,0,1,False,2,18,
45.2,0,1824.3,2.26,0.88,59,25.67,6620.39,10791.42,30.03,-593812.71,0,1,False,2,18,
45.76,0,1811.81,2.27,0.88,58.58,25.84,6777.78,11034.76,30.36,-593635.24,0,1,False,2,18,
46.32,0,1799.27,2.28,0.88,58.15,26,6936.67,11279.98,30.68,-593452.92,0,1,False,2,18,
46.86,0,1786.68,2.29,0.88,57.73,26.15,7097.05,11527.33,31.01,-593265.45,0,1,False,2,18,
47.42,0,1773.59,2.3,0.88,57.32,26.29,7258.89,11777.01,31.33,-593072.58,0,1,False,2,18,
47.98,0,1760.9,2.32,0.88,56.9,26.42,7422.21,12029.14,31.66,-592874.06,0,1,False,2,18,
48.54,0,1748.62,2.33,0.88,56.48,26.53,7587,12283.86,31.99,-592669.65,0,1,False,2,18,
49.1,0,1735.84,2.34,0.88,56.07,26.64,7753.27,12541.28,32.32,-592459.11,0,1,False,2,18,
49.66,0,1723.01,2.35,0.88,55.66,26.73,7921.01,12801.53,32.65,-592242.17,0,1,False,2,18,
50.22,0,1710.13,2.36,0.88,55.25,26.82,8090.23,13064.65,32.99,-592018.64,0,1,False,2,18,
50.78,0,1697.19,2.38,0.88,54.84,26.89,8260.94,13330.55,33.33,-591788.44,0,1,False,2,18,
51.36,0,1684.21,2.39,0.88,54.43,26.95,8433.13,13599.1,33.67,-591551.52,0,1,False,2,18,
